ID,1a,1b,1c,1d,1e,1f,2a,2b,2c,2d,2e,2f,3a,3b,3c,3d,3e,3f,4a,4b,4c,4d,4e,4f,5a,5b,5c,5d,5e,5f,6a,6b,6c,6d,6e,6f
87,2,4,4,3,4,1,2,4,4,3,4,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
88,1,2,2,2,3,3,1,2,2,2,3,3,2,2,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0
89,2,0,1,0,2,0,2,0,1,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,2,2,2
90,4,3,4,2,4,2,4,3,4,2,4,2,3,2,3,1,1,2,2,3,2,2,1,2,0,1,0,1,0,0,2,0,3,1,1,0
91,3,2,3,4,4,3,3,2,3,4,4,3,4,4,4,2,3,2,4,2,3,1,3,2,0,0,1,0,1,1,0,0,4,2,2,1
92,2,3,3,3,3,2,2,3,3,3,3,2,3,2,2,1,0,1,1,3,3,3,3,2,3,0,2,1,2,2,3,2,2,3,2,1
93,1,0,1,2,2,1,1,0,1,2,2,1,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0
94,2,0,0,2,2,0,2,0,0,2,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
95,4,4,3,3,3,2,4,4,3,3,3,2,0,1,1,0,0,2,3,1,3,1,1,1,2,0,3,2,2,1,0,1,2,0,1,0
96,4,2,3,4,4,4,4,2,3,4,4,4,2,3,1,0,0,0,2,2,3,2,2,1,3,3,3,3,3,2,3,3,3,4,3,3
97,3,2,3,3,3,2,3,2,3,3,3,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,0,0,0,2,1,2,1,0,1
98,2,1,4,3,3,1,2,1,4,3,3,1,1,3,1,0,0,0,2,3,3,3,2,3,1,0,4,2,2,2,1,1,3,4,1,4
99,3,1,2,2,2,2,3,1,2,2,2,2,1,1,2,2,0,1,2,1,2,2,1,1,0,0,1,1,0,0,2,0,4,3,2,3
100,2,0,3,4,3,0,2,0,3,4,3,0,3,1,3,1,0,1,2,3,2,3,1,3,4,2,3,3,1,4,0,0,2,4,0,2
101,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,1,1,2,1,1,1,1,1,4,2,3,4,4,1
102,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,2,2,4,2,3,1
103,3,2,4,4,4,3,3,2,4,4,4,3,3,3,3,1,1,2,3,2,3,2,3,1,0,0,0,0,0,0,0,0,0,1,4,0
104,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,,3,3,3,3,4,3,3,3
105,3,2,3,4,3,0,3,2,3,4,3,0,4,4,3,0,0,3,3,3,3,0,0,0,1,0,2,0,0,0,0,0,0,3,0,1
106,1,0,3,2,3,2,1,0,3,2,3,2,1,2,2,0,1,3,2,1,4,2,2,2,1,1,1,0,1,0,3,2,1,2,4,3
107,2,2,3,3,3,3,2,2,3,3,3,3,2,1,2,2,2,,2,1,1,1,0,1,0,0,0,0,0,0,3,0,4,0,2,3
108,3,1,4,4,,3,3,1,4,4,,3,2,2,1,0,1,1,2,2,4,1,1,1,1,0,1,2,3,0,0,0,0,4,2,0
109,3,2,2,4,3,2,3,2,2,4,3,2,1,1,1,1,0,2,1,2,2,2,1,0,0,0,0,0,0,0,1,0,0,3,2,2
110,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,0,1,0,2,2,2,1,1,2,1,1,0,0,0,0,1,2,0,1,1,0
